title,url,jobsurl,phone,streetAddress,email
Auburn,http://www.expresspros.com/auburnal,http://www.expresspros.com/auburnal/job-openings.aspx,tel:(334) 246-3910,"2436 East University Drive,Suite 2203-04,Auburn, AL 36830",mailto:Jobs.AuburnAL@ExpressPros.com
Birmingham (North),http://www.expresspros.com/nbirminghamal,http://www.expresspros.com/nbirminghamal/job-openings.aspx,tel:(205) 547-2849,"1423 Gadsden Highway,Suite 115,Birmingham, AL 35235",mailto:Jobs.NorthBirminghamAL@ExpressPros.com
Birmingham (South),http://www.expresspros.com/sbirminghamal,http://www.expresspros.com/sbirminghamal/job-openings.aspx,tel:(205) 981-1141,"200 Cahaba Park Circle,Suite 130,Birmingham, AL 35242",mailto:jobs.birminghamalsouth@expresspros.com
Birmingham (West),http://www.expresspros.com/wbirminghamal,http://www.expresspros.com/wbirminghamal/job-openings.aspx,tel:(205) 610-8260,"2321 John Hawkins Parkway,Suite 105,Hoover, AL 35244",mailto:Jobs.BirminghamALWest@ExpressPros.com
Dothan,http://www.expresspros.com/dothanal,http://www.expresspros.com/dothanal/job-openings.aspx,tel:(334) 671-1315,"3702 Ross Clark Circle,Suite 3,Dothan, AL 36303",mailto:jobs.dothanal@expresspros.com
Huntsville,http://www.expresspros.com/huntsvilleal,http://www.expresspros.com/huntsvilleal/job-openings.aspx,tel:(256) 721-5627,"5650 Sanderson Street,Suite P,Huntsville, AL 35805",mailto:jobs.huntsvilleal@expresspros.com
Mobile,http://www.expresspros.com/mobileal,http://www.expresspros.com/mobileal/job-openings.aspx,tel:(251) 476-8210,"3662 Dauphin Street,Suite B,Mobile, AL 36608",mailto:jobs.mobileal@expresspros.com
Montgomery,http://www.expresspros.com/montgomeryal,http://www.expresspros.com/montgomeryal/job-openings.aspx,tel:(334) 651-0772,"5729 Carmichael Parkway,Montgomery, AL 36117",mailto:Jobs.MontgomeryAL@ExpressPros.com
Summerdale,http://www.expresspros.com/summerdaleal,http://www.expresspros.com/summerdaleal/job-openings.aspx,tel:(251) 989-5500,"20210 State Highway 59,Suite 3,Summerdale, AL 36580",mailto:Jobs.SummerdaleAL@ExpressPros.com
Tuscaloosa,http://www.expresspros.com/tuscaloosa,http://www.expresspros.com/tuscaloosa/job-openings.aspx,tel:(205) 758-0080,"2818 Lurleen B Wallace Boulevard,Northport, AL 35476",mailto:jobs.tuscaloosaal@expresspros.com
